iter	Logloss
0	0.6864773745
1	0.6794309406
2	0.6729203566
3	0.6663666489
4	0.6606386605
5	0.6549380534
6	0.6504888842
7	0.6453311252
8	0.6396406333
9	0.634719317
10	0.6292476285
11	0.6240219712
12	0.6191481252
13	0.6143311796
14	0.6095415638
15	0.6054335049
16	0.6008231643
17	0.596735085
18	0.5922617245
19	0.588071797
20	0.5838328727
21	0.5796171838
22	0.575699912
23	0.5725736088
24	0.5689606034
25	0.5652689991
26	0.56187104
27	0.5582879294
28	0.5546259432
29	0.5514819849
30	0.5483606811
31	0.5451756708
32	0.5424932723
33	0.5394357274
34	0.5364751166
35	0.5336826133
36	0.5307870078
37	0.5284513653
38	0.5259190697
39	0.523354998
40	0.5208304736
41	0.5187855737
42	0.5163206938
43	0.514110221
44	0.5118818886
45	0.5097800066
46	0.5076054068
47	0.5054653551
48	0.5036001789
49	0.501888993
50	0.500529234
51	0.4989462162
52	0.4971295211
53	0.495956393
54	0.4941176527
55	0.4922663845
56	0.4908478175
57	0.4892264037
58	0.4874949964
59	0.4858524208
60	0.4841696699
61	0.4825229867
62	0.4811128071
63	0.4796465932
64	0.4781055766
65	0.4767724433
66	0.4756165298
67	0.4742580538
68	0.4728919443
69	0.4716678142
70	0.4703042957
71	0.469220874
72	0.467965754
73	0.4666865164
74	0.4654013324
75	0.464257656
76	0.462990041
77	0.4619471654
78	0.460979362
79	0.4599796172
80	0.4589350481
81	0.4579589934
82	0.45681108
83	0.4561189042
84	0.4551330139
85	0.4544269213
86	0.4534444111
87	0.4525586725
88	0.4515741303
89	0.4508583485
90	0.4500067468
91	0.4492262388
92	0.4483942952
93	0.4476021742
94	0.4466870292
95	0.4458862467
96	0.4451368026
97	0.4446747529
98	0.4442296584
99	0.4433609135
100	0.442906666
101	0.4422583528
102	0.4418663983
103	0.4413763309
104	0.4407963574
105	0.4402916692
106	0.4396679729
107	0.4388949099
108	0.4383465837
109	0.4376497495
110	0.4371851284
111	0.4366846099
112	0.4359567498
113	0.4353538756
114	0.4349051765
115	0.4343134058
116	0.4337317181
117	0.4331647769
118	0.4326763343
119	0.4323036873
120	0.4318851233
121	0.4313678787
122	0.4308456255
123	0.4305479115
124	0.4300067498
125	0.4294889134
126	0.4290886396
127	0.428544109
128	0.4281327313
129	0.4276663434
130	0.4273640226
131	0.426903558
132	0.4264051963
