iter	Passed	Remaining
407	5599	1262
408	5614	1249
409	5620	1233
410	5634	1220
411	5649	1206
412	5658	1192
413	5672	1178
414	5686	1164
415	5700	1151
416	5716	1137
417	5730	1124
418	5746	1110
419	5760	1097
420	5770	1082
421	5784	1069
422	5798	1055
423	5813	1041
424	5828	1028
425	5843	1015
426	5859	1001
427	5873	988
428	5887	974
429	5896	959
430	5913	946
431	5934	934
432	5950	920
433	5958	906
434	5962	890
435	5976	877
436	5991	863
437	6007	850
438	6020	836
439	6035	823
440	6050	809
441	6066	796
442	6081	782
443	6096	768
444	6110	755
445	6125	741
446	6141	728
447	6151	713
448	6166	700
449	6180	686
450	6196	673
451	6207	659
452	6221	645
453	6236	631
454	6247	617
455	6257	603
456	6262	589
457	6277	575
458	6292	562
459	6307	548
460	6324	535
461	6339	521
462	6354	507
463	6369	494
464	6385	480
465	6401	467
466	6410	452
467	6425	439
468	6439	425
469	6445	411
470	6460	397
471	6474	384
472	6489	370
473	6504	356
474	6520	343
475	6534	329
476	6549	315
477	6563	302
478	6579	288
479	6593	274
480	6607	261
481	6623	247
482	6635	233
483	6650	219
484	6665	206
485	6673	192
486	6678	178
487	6693	164
488	6708	150
489	6722	137
490	6737	123
491	6752	109
492	6766	96
493	6783	82
494	6799	68
495	6815	54
496	6832	41
497	6848	27
498	6863	13
499	6878	0
